Start_Station,End_Station,Distance_km,Fare_INR
Halasuru,Krishnarajapura,6.0,30
Halasuru,Singayyanapalya,7.2,30
Halasuru,Garudacharpalya,8.4,30
Halasuru,Hoodi,9.6,30
Halasuru,Seetharamapalya,10.8,40
Halasuru,Kundalahalli,12.0,40
Halasuru,Nallurhalli,13.2,40
Halasuru,Sri Sathya Sai Hospital,14.4,40
Halasuru,Pattandur Agrahara,15.6,50
Halasuru,Kadugodi Tree Park,16.8,50
Halasuru,Channasandra,18.0,50
Halasuru,Whitefield (Kadugodi),19.2,50
Halasuru,Madavara,26.4,90
Halasuru,Chikkabidarakallu,25.2,90
Halasuru,Manjunath Nagar,24.0,60
Halasuru,Nagasandra,22.8,60
Halasuru,Dasarahalli,21.6,60
Halasuru,Jalahalli,20.4,60
Halasuru,Peenya Industry,19.2,50
Halasuru,Peenya,18.0,50
Halasuru,Goraguntepalya,16.8,50
Halasuru,Yeshwanthpur,15.6,50
Halasuru,Sandal Soap Factory,14.4,40
Halasuru,Mahalakshmi,13.2,40
Halasuru,Rajajinagar,12.0,40
Halasuru,Kuvempu Road,10.8,40
Halasuru,Srirampura,9.6,30
Halasuru,Mantri Square Sampige Road,8.4,30
Halasuru,Chickpete,8.4,30
Halasuru,Krishna Rajendra Market,9.6,30
Halasuru,National College,10.8,40
Halasuru,Lalbagh,12.0,40
Halasuru,South End Circle,13.2,40
Halasuru,Jayanagar,14.4,40
Halasuru,Rashtriya Vidyalaya Road,15.6,50
Halasuru,Banashankari,16.8,50
Halasuru,Jayaprakash Nagar,18.0,50
Halasuru,Yelachenahalli,19.2,50
Halasuru,Konanakunte Cross,20.4,60
Halasuru,Doddakallasandra,21.6,60
Halasuru,Vajarahalli,22.8,60
Halasuru,Thalaghattapura,24.0,60
Halasuru,Silk Institute,25.2,90
Halasuru,Ragigudda,16.8,50
Halasuru,Jayadeva Hospital,18.0,50
Halasuru,BTM Layout,19.2,50
Halasuru,Central Silk Board,20.4,60
Halasuru,Bommanahalli,21.6,60
Halasuru,Hongasandra,22.8,60
Halasuru,Kudlu Gate,24.0,60
Halasuru,Singasandra,25.2,90
Halasuru,Hosa Road,26.4,90
Halasuru,Beratena Agrahara,27.6,90
Halasuru,Electronic City,28.8,90
Halasuru,Infosys Foundation Konappana Agrahara,30.0,90
Halasuru,Huskur Road,31.2,90
Halasuru,Biocon Hebbagodi,32.4,90
Halasuru,Delta Electronics Bommasandra,33.6,90
Halasuru,Bommasandra,34.8,90
Indiranagar,Challaghatta,28.8,90
Indiranagar,Kengeri Bus Terminal,27.6,90
Indiranagar,Kengeri,26.4,90
Indiranagar,Pattanagere,25.2,90
Indiranagar,Jnanabharathi,24.0,60
Indiranagar,Rajarajeshwari Nagar,22.8,60
Indiranagar,RR Nagar,21.6,60
Indiranagar,Nayandahalli,20.4,60
Indiranagar,Pantharapalya – Nayandahalli,19.2,50
Indiranagar,Mysuru Road,18.0,50
Indiranagar,Deepanjali Nagar,16.8,50
Indiranagar,Attiguppe,15.6,50
Indiranagar,Vijayanagar,14.4,40
Indiranagar,Hosahalli,13.2,40
Indiranagar,"Sri Balagangadharanatha Swamiji Station, Hosahalli",12.0,40
Indiranagar,Magadi Road,10.8,40
Indiranagar,Krantiveera Sangolli Rayanna Railway Station,9.6,30
Indiranagar,Majestic (Nadaprabhu Kempegowda),8.4,30
Indiranagar,Sir M. Visvesvaraya,7.2,30
Indiranagar,Vidhana Soudha,6.0,30
Indiranagar,Cubbon Park,4.8,20
Indiranagar,Mahatma Gandhi Road,3.6,20
Indiranagar,Trinity,2.4,20
Indiranagar,Halasuru,1.2,10
Indiranagar,Indiranagar,0.0,10
Indiranagar,Swami Vivekananda Road,1.2,10
Indiranagar,Baiyyappanahalli,2.4,20
Indiranagar,Bennigana Halli,3.6,20
Indiranagar,Krishnarajapura,4.8,20
Indiranagar,Singayyanapalya,6.0,30
Indiranagar,Garudacharpalya,7.2,30
Indiranagar,Hoodi,8.4,30
Indiranagar,Seetharamapalya,9.6,30
Indiranagar,Kundalahalli,10.8,40
Indiranagar,Nallurhalli,12.0,40
Indiranagar,Sri Sathya Sai Hospital,13.2,40
Indiranagar,Pattandur Agrahara,14.4,40
Indiranagar,Kadugodi Tree Park,15.6,50
Indiranagar,Channasandra,16.8,50
Indiranagar,Whitefield (Kadugodi),18.0,50
Indiranagar,Madavara,27.6,90
Indiranagar,Chikkabidarakallu,26.4,90
Indiranagar,Manjunath Nagar,25.2,90
Indiranagar,Nagasandra,24.0,60
Indiranagar,Dasarahalli,22.8,60
Indiranagar,Jalahalli,21.6,60
Indiranagar,Peenya Industry,20.4,60
Indiranagar,Peenya,19.2,50
Indiranagar,Goraguntepalya,18.0,50
Indiranagar,Yeshwanthpur,16.8,50
Indiranagar,Sandal Soap Factory,15.6,50
Indiranagar,Mahalakshmi,14.4,40
Indiranagar,Rajajinagar,13.2,40
Indiranagar,Kuvempu Road,12.0,40
Indiranagar,Srirampura,10.8,40
Indiranagar,Mantri Square Sampige Road,9.6,30
Indiranagar,Chickpete,9.6,30
Indiranagar,Krishna Rajendra Market,10.8,40
Indiranagar,National College,12.0,40
Indiranagar,Lalbagh,13.2,40
Indiranagar,South End Circle,14.4,40
Indiranagar,Jayanagar,15.6,50
Indiranagar,Rashtriya Vidyalaya Road,16.8,50
Indiranagar,Banashankari,18.0,50
Indiranagar,Jayaprakash Nagar,19.2,50
Indiranagar,Yelachenahalli,20.4,60
Indiranagar,Konanakunte Cross,21.6,60
Indiranagar,Doddakallasandra,22.8,60
Indiranagar,Vajarahalli,24.0,60
Indiranagar,Thalaghattapura,25.2,90
Indiranagar,Silk Institute,26.4,90
Indiranagar,Ragigudda,18.0,50
Indiranagar,Jayadeva Hospital,19.2,50
Indiranagar,BTM Layout,20.4,60
Indiranagar,Central Silk Board,21.6,60
Indiranagar,Bommanahalli,22.8,60
Indiranagar,Hongasandra,24.0,60
Indiranagar,Kudlu Gate,25.2,90
Indiranagar,Singasandra,26.4,90
Indiranagar,Hosa Road,27.6,90
Indiranagar,Beratena Agrahara,28.8,90
Indiranagar,Electronic City,30.0,90
Indiranagar,Infosys Foundation Konappana Agrahara,31.2,90
Indiranagar,Huskur Road,32.4,90
Indiranagar,Biocon Hebbagodi,33.6,90
Indiranagar,Delta Electronics Bommasandra,34.8,90
Indiranagar,Bommasandra,36.0,90
Swami Vivekananda Road,Challaghatta,30.0,90
Swami Vivekananda Road,Kengeri Bus Terminal,28.8,90
Swami Vivekananda Road,Kengeri,27.6,90
Swami Vivekananda Road,Pattanagere,26.4,90
Swami Vivekananda Road,Jnanabharathi,25.2,90
Swami Vivekananda Road,Rajarajeshwari Nagar,24.0,60
Swami Vivekananda Road,RR Nagar,22.8,60
Swami Vivekananda Road,Nayandahalli,21.6,60
Swami Vivekananda Road,Pantharapalya – Nayandahalli,20.4,60
Swami Vivekananda Road,Mysuru Road,19.2,50
Swami Vivekananda Road,Deepanjali Nagar,18.0,50
Swami Vivekananda Road,Attiguppe,16.8,50
Swami Vivekananda Road,Vijayanagar,15.6,50
Swami Vivekananda Road,Hosahalli,14.4,40
Swami Vivekananda Road,"Sri Balagangadharanatha Swamiji Station, Hosahalli",13.2,40
Swami Vivekananda Road,Magadi Road,12.0,40
Swami Vivekananda Road,Krantiveera Sangolli Rayanna Railway Station,10.8,40
Swami Vivekananda Road,Majestic (Nadaprabhu Kempegowda),9.6,30
Swami Vivekananda Road,Sir M. Visvesvaraya,8.4,30
Swami Vivekananda Road,Vidhana Soudha,7.2,30
Swami Vivekananda Road,Cubbon Park,6.0,30
Swami Vivekananda Road,Mahatma Gandhi Road,4.8,20
Swami Vivekananda Road,Trinity,3.6,20
Swami Vivekananda Road,Halasuru,2.4,20
Swami Vivekananda Road,Indiranagar,1.2,10
Swami Vivekananda Road,Swami Vivekananda Road,0.0,10
Swami Vivekananda Road,Baiyyappanahalli,1.2,10
Swami Vivekananda Road,Bennigana Halli,2.4,20
Swami Vivekananda Road,Krishnarajapura,3.6,20
Swami Vivekananda Road,Singayyanapalya,4.8,20
Swami Vivekananda Road,Garudacharpalya,6.0,30
Swami Vivekananda Road,Hoodi,7.2,30
Swami Vivekananda Road,Seetharamapalya,8.4,30
Swami Vivekananda Road,Kundalahalli,9.6,30
Swami Vivekananda Road,Nallurhalli,10.8,40
Swami Vivekananda Road,Sri Sathya Sai Hospital,12.0,40
Swami Vivekananda Road,Pattandur Agrahara,13.2,40
Swami Vivekananda Road,Kadugodi Tree Park,14.4,40
Swami Vivekananda Road,Channasandra,15.6,50
Swami Vivekananda Road,Whitefield (Kadugodi),16.8,50
Swami Vivekananda Road,Madavara,28.8,90
Swami Vivekananda Road,Chikkabidarakallu,27.6,90
Swami Vivekananda Road,Manjunath Nagar,26.4,90
Swami Vivekananda Road,Nagasandra,25.2,90
Swami Vivekananda Road,Dasarahalli,24.0,60
Swami Vivekananda Road,Jalahalli,22.8,60
Swami Vivekananda Road,Peenya Industry,21.6,60
Swami Vivekananda Road,Peenya,20.4,60
Swami Vivekananda Road,Goraguntepalya,19.2,50
Swami Vivekananda Road,Yeshwanthpur,18.0,50
Swami Vivekananda Road,Sandal Soap Factory,16.8,50
Swami Vivekananda Road,Mahalakshmi,15.6,50
Swami Vivekananda Road,Rajajinagar,14.4,40
Swami Vivekananda Road,Kuvempu Road,13.2,40
Swami Vivekananda Road,Srirampura,12.0,40
Swami Vivekananda Road,Mantri Square Sampige Road,10.8,40
Swami Vivekananda Road,Chickpete,10.8,40
Swami Vivekananda Road,Krishna Rajendra Market,12.0,40
Swami Vivekananda Road,National College,13.2,40
Swami Vivekananda Road,Lalbagh,14.4,40
Swami Vivekananda Road,South End Circle,15.6,50
Swami Vivekananda Road,Jayanagar,16.8,50
Swami Vivekananda Road,Rashtriya Vidyalaya Road,18.0,50
Swami Vivekananda Road,Banashankari,19.2,50
Swami Vivekananda Road,Jayaprakash Nagar,20.4,60
Swami Vivekananda Road,Yelachenahalli,21.6,60
Swami Vivekananda Road,Konanakunte Cross,22.8,60
Swami Vivekananda Road,Doddakallasandra,24.0,60
Swami Vivekananda Road,Vajarahalli,25.2,90
Swami Vivekananda Road,Thalaghattapura,26.4,90
Swami Vivekananda Road,Silk Institute,27.6,90
Swami Vivekananda Road,Ragigudda,19.2,50
Swami Vivekananda Road,Jayadeva Hospital,20.4,60
Swami Vivekananda Road,BTM Layout,21.6,60
Swami Vivekananda Road,Central Silk Board,22.8,60
Swami Vivekananda Road,Bommanahalli,24.0,60
Swami Vivekananda Road,Hongasandra,25.2,90
Swami Vivekananda Road,Kudlu Gate,26.4,90
Swami Vivekananda Road,Singasandra,27.6,90
Swami Vivekananda Road,Hosa Road,28.8,90
Swami Vivekananda Road,Beratena Agrahara,30.0,90
Swami Vivekananda Road,Electronic City,31.2,90
Swami Vivekananda Road,Infosys Foundation Konappana Agrahara,32.4,90
Swami Vivekananda Road,Huskur Road,33.6,90
Swami Vivekananda Road,Biocon Hebbagodi,34.8,90
Swami Vivekananda Road,Delta Electronics Bommasandra,36.0,90
Swami Vivekananda Road,Bommasandra,37.2,90
Baiyyappanahalli,Challaghatta,31.2,90
Baiyyappanahalli,Kengeri Bus Terminal,30.0,90
Baiyyappanahalli,Kengeri,28.8,90
Baiyyappanahalli,Pattanagere,27.6,90
Baiyyappanahalli,Jnanabharathi,26.4,90
Baiyyappanahalli,Rajarajeshwari Nagar,25.2,90
Baiyyappanahalli,RR Nagar,24.0,60
Baiyyappanahalli,Nayandahalli,22.8,60
Baiyyappanahalli,Pantharapalya – Nayandahalli,21.6,60
Baiyyappanahalli,Mysuru Road,20.4,60
Baiyyappanahalli,Deepanjali Nagar,19.2,50
Baiyyappanahalli,Attiguppe,18.0,50
Baiyyappanahalli,Vijayanagar,16.8,50
Baiyyappanahalli,Hosahalli,15.6,50
Baiyyappanahalli,"Sri Balagangadharanatha Swamiji Station, Hosahalli",14.4,40
Baiyyappanahalli,Magadi Road,13.2,40
Baiyyappanahalli,Krantiveera Sangolli Rayanna Railway Station,12.0,40
Baiyyappanahalli,Majestic (Nadaprabhu Kempegowda),10.8,40
Baiyyappanahalli,Sir M. Visvesvaraya,9.6,30
Baiyyappanahalli,Vidhana Soudha,8.4,30
Baiyyappanahalli,Cubbon Park,7.2,30
Baiyyappanahalli,Mahatma Gandhi Road,6.0,30
Baiyyappanahalli,Trinity,4.8,20
Baiyyappanahalli,Halasuru,3.6,20
Baiyyappanahalli,Indiranagar,2.4,20
Baiyyappanahalli,Swami Vivekananda Road,1.2,10
Baiyyappanahalli,Baiyyappanahalli,0.0,10
Baiyyappanahalli,Bennigana Halli,1.2,10
Baiyyappanahalli,Krishnarajapura,2.4,20
Baiyyappanahalli,Singayyanapalya,3.6,20
Baiyyappanahalli,Garudacharpalya,4.8,20
Baiyyappanahalli,Hoodi,6.0,30
Baiyyappanahalli,Seetharamapalya,7.2,30
Baiyyappanahalli,Kundalahalli,8.4,30
Baiyyappanahalli,Nallurhalli,9.6,30
Baiyyappanahalli,Sri Sathya Sai Hospital,10.8,40
Baiyyappanahalli,Pattandur Agrahara,12.0,40
Baiyyappanahalli,Kadugodi Tree Park,13.2,40
Baiyyappanahalli,Channasandra,14.4,40
Baiyyappanahalli,Whitefield (Kadugodi),15.6,50
Baiyyappanahalli,Madavara,30.0,90
Baiyyappanahalli,Chikkabidarakallu,28.8,90
Baiyyappanahalli,Manjunath Nagar,27.6,90
Baiyyappanahalli,Nagasandra,26.4,90
Baiyyappanahalli,Dasarahalli,25.2,90
Baiyyappanahalli,Jalahalli,24.0,60
Baiyyappanahalli,Peenya Industry,22.8,60
Baiyyappanahalli,Peenya,21.6,60
Baiyyappanahalli,Goraguntepalya,20.4,60
Baiyyappanahalli,Yeshwanthpur,19.2,50
Baiyyappanahalli,Sandal Soap Factory,18.0,50
Baiyyappanahalli,Mahalakshmi,16.8,50
Baiyyappanahalli,Rajajinagar,15.6,50
Baiyyappanahalli,Kuvempu Road,14.4,40
Baiyyappanahalli,Srirampura,13.2,40
Baiyyappanahalli,Mantri Square Sampige Road,12.0,40
Baiyyappanahalli,Chickpete,12.0,40
Baiyyappanahalli,Krishna Rajendra Market,13.2,40
Baiyyappanahalli,National College,14.4,40
Baiyyappanahalli,Lalbagh,15.6,50
Baiyyappanahalli,South End Circle,16.8,50
Baiyyappanahalli,Jayanagar,18.0,50
Baiyyappanahalli,Rashtriya Vidyalaya Road,19.2,50
Baiyyappanahalli,Banashankari,20.4,60
Baiyyappanahalli,Jayaprakash Nagar,21.6,60
Baiyyappanahalli,Yelachenahalli,22.8,60
Baiyyappanahalli,Konanakunte Cross,24.0,60
Baiyyappanahalli,Doddakallasandra,25.2,90
Baiyyappanahalli,Vajarahalli,26.4,90
Baiyyappanahalli,Thalaghattapura,27.6,90
Baiyyappanahalli,Silk Institute,28.8,90
Baiyyappanahalli,Ragigudda,20.4,60
Baiyyappanahalli,Jayadeva Hospital,21.6,60
Baiyyappanahalli,BTM Layout,22.8,60
Baiyyappanahalli,Central Silk Board,24.0,60
Baiyyappanahalli,Bommanahalli,25.2,90
Baiyyappanahalli,Hongasandra,26.4,90
Baiyyappanahalli,Kudlu Gate,27.6,90
Baiyyappanahalli,Singasandra,28.8,90
Baiyyappanahalli,Hosa Road,30.0,90
Baiyyappanahalli,Beratena Agrahara,31.2,90
Baiyyappanahalli,Electronic City,32.4,90
Baiyyappanahalli,Infosys Foundation Konappana Agrahara,33.6,90
Baiyyappanahalli,Huskur Road,34.8,90
Baiyyappanahalli,Biocon Hebbagodi,36.0,90
Baiyyappanahalli,Delta Electronics Bommasandra,37.2,90
Baiyyappanahalli,Bommasandra,38.4,90
Bennigana Halli,Challaghatta,32.4,90
Bennigana Halli,Kengeri Bus Terminal,31.2,90
Bennigana Halli,Kengeri,30.0,90
Bennigana Halli,Pattanagere,28.8,90
Bennigana Halli,Jnanabharathi,27.6,90
Bennigana Halli,Rajarajeshwari Nagar,26.4,90
Bennigana Halli,RR Nagar,25.2,90
Bennigana Halli,Nayandahalli,24.0,60
Bennigana Halli,Pantharapalya – Nayandahalli,22.8,60
Bennigana Halli,Mysuru Road,21.6,60
Bennigana Halli,Deepanjali Nagar,20.4,60
Bennigana Halli,Attiguppe,19.2,50
Bennigana Halli,Vijayanagar,18.0,50
Bennigana Halli,Hosahalli,16.8,50
Bennigana Halli,"Sri Balagangadharanatha Swamiji Station, Hosahalli",15.6,50
Bennigana Halli,Magadi Road,14.4,40
Bennigana Halli,Krantiveera Sangolli Rayanna Railway Station,13.2,40
Bennigana Halli,Majestic (Nadaprabhu Kempegowda),12.0,40
Bennigana Halli,Sir M. Visvesvaraya,10.8,40
Bennigana Halli,Vidhana Soudha,9.6,30
Bennigana Halli,Cubbon Park,8.4,30
Bennigana Halli,Mahatma Gandhi Road,7.2,30
Bennigana Halli,Trinity,6.0,30
Bennigana Halli,Halasuru,4.8,20
Bennigana Halli,Indiranagar,3.6,20
Bennigana Halli,Swami Vivekananda Road,2.4,20
Bennigana Halli,Baiyyappanahalli,1.2,10
Bennigana Halli,Bennigana Halli,0.0,10
Bennigana Halli,Krishnarajapura,1.2,10
Bennigana Halli,Singayyanapalya,2.4,20
Bennigana Halli,Garudacharpalya,3.6,20
Bennigana Halli,Hoodi,4.8,20
Bennigana Halli,Seetharamapalya,6.0,30
Bennigana Halli,Kundalahalli,7.2,30
Bennigana Halli,Nallurhalli,8.4,30
Bennigana Halli,Sri Sathya Sai Hospital,9.6,30
Bennigana Halli,Pattandur Agrahara,10.8,40
Bennigana Halli,Kadugodi Tree Park,12.0,40
Bennigana Halli,Channasandra,13.2,40
Bennigana Halli,Whitefield (Kadugodi),14.4,40
Bennigana Halli,Madavara,31.2,90
Bennigana Halli,Chikkabidarakallu,30.0,90
Bennigana Halli,Manjunath Nagar,28.8,90
Bennigana Halli,Nagasandra,27.6,90
Bennigana Halli,Dasarahalli,26.4,90
Bennigana Halli,Jalahalli,25.2,90
Bennigana Halli,Peenya Industry,24.0,60
Bennigana Halli,Peenya,22.8,60
Bennigana Halli,Goraguntepalya,21.6,60
Bennigana Halli,Yeshwanthpur,20.4,60
Bennigana Halli,Sandal Soap Factory,19.2,50
Bennigana Halli,Mahalakshmi,18.0,50
Bennigana Halli,Rajajinagar,16.8,50
Bennigana Halli,Kuvempu Road,15.6,50
Bennigana Halli,Srirampura,14.4,40
Bennigana Halli,Mantri Square Sampige Road,13.2,40
Bennigana Halli,Chickpete,13.2,40
Bennigana Halli,Krishna Rajendra Market,14.4,40
Bennigana Halli,National College,15.6,50
Bennigana Halli,Lalbagh,16.8,50
Bennigana Halli,South End Circle,18.0,50
Bennigana Halli,Jayanagar,19.2,50
Bennigana Halli,Rashtriya Vidyalaya Road,20.4,60
Bennigana Halli,Banashankari,21.6,60
Bennigana Halli,Jayaprakash Nagar,22.8,60
Bennigana Halli,Yelachenahalli,24.0,60
Bennigana Halli,Konanakunte Cross,25.2,90
Bennigana Halli,Doddakallasandra,26.4,90
Bennigana Halli,Vajarahalli,27.6,90
Bennigana Halli,Thalaghattapura,28.8,90
Bennigana Halli,Silk Institute,30.0,90
Bennigana Halli,Ragigudda,21.6,60
Bennigana Halli,Jayadeva Hospital,22.8,60
Bennigana Halli,BTM Layout,24.0,60
Bennigana Halli,Central Silk Board,25.2,90
Bennigana Halli,Bommanahalli,26.4,90
Bennigana Halli,Hongasandra,27.6,90
Bennigana Halli,Kudlu Gate,28.8,90
Bennigana Halli,Singasandra,30.0,90
Bennigana Halli,Hosa Road,31.2,90
Bennigana Halli,Beratena Agrahara,32.4,90
Bennigana Halli,Electronic City,33.6,90
Bennigana Halli,Infosys Foundation Konappana Agrahara,34.8,90
Bennigana Halli,Huskur Road,36.0,90
Bennigana Halli,Biocon Hebbagodi,37.2,90
Bennigana Halli,Delta Electronics Bommasandra,38.4,90
Bennigana Halli,Bommasandra,39.6,90
Krishnarajapura,Challaghatta,33.6,90
Krishnarajapura,Kengeri Bus Terminal,32.4,90
Krishnarajapura,Kengeri,31.2,90
Krishnarajapura,Pattanagere,30.0,90
Krishnarajapura,Jnanabharathi,28.8,90
Krishnarajapura,Rajarajeshwari Nagar,27.6,90
Krishnarajapura,RR Nagar,26.4,90
Krishnarajapura,Nayandahalli,25.2,90
Krishnarajapura,Pantharapalya – Nayandahalli,24.0,60
Krishnarajapura,Mysuru Road,22.8,60
Krishnarajapura,Deepanjali Nagar,21.6,60
Krishnarajapura,Attiguppe,20.4,60
Krishnarajapura,Vijayanagar,19.2,50
Krishnarajapura,Hosahalli,18.0,50
Krishnarajapura,"Sri Balagangadharanatha Swamiji Station, Hosahalli",16.8,50
Krishnarajapura,Magadi Road,15.6,50
Krishnarajapura,Krantiveera Sangolli Rayanna Railway Station,14.4,40
Krishnarajapura,Majestic (Nadaprabhu Kempegowda),13.2,40
Krishnarajapura,Sir M. Visvesvaraya,12.0,40
Krishnarajapura,Vidhana Soudha,10.8,40
Krishnarajapura,Cubbon Park,9.6,30
Krishnarajapura,Mahatma Gandhi Road,8.4,30
Krishnarajapura,Trinity,7.2,30
Krishnarajapura,Halasuru,6.0,30
Krishnarajapura,Indiranagar,4.8,20
Krishnarajapura,Swami Vivekananda Road,3.6,20
Krishnarajapura,Baiyyappanahalli,2.4,20
Krishnarajapura,Bennigana Halli,1.2,10
Krishnarajapura,Krishnarajapura,0.0,10
Krishnarajapura,Singayyanapalya,1.2,10
Krishnarajapura,Garudacharpalya,2.4,20
Krishnarajapura,Hoodi,3.6,20
Krishnarajapura,Seetharamapalya,4.8,20
Krishnarajapura,Kundalahalli,6.0,30
Krishnarajapura,Nallurhalli,7.2,30
Krishnarajapura,Sri Sathya Sai Hospital,8.4,30
Krishnarajapura,Pattandur Agrahara,9.6,30
Krishnarajapura,Kadugodi Tree Park,10.8,40
Krishnarajapura,Channasandra,12.0,40
Krishnarajapura,Whitefield (Kadugodi),13.2,40
Krishnarajapura,Madavara,32.4,90
Krishnarajapura,Chikkabidarakallu,31.2,90
Krishnarajapura,Manjunath Nagar,30.0,90
Krishnarajapura,Nagasandra,28.8,90
Krishnarajapura,Dasarahalli,27.6,90
Krishnarajapura,Jalahalli,26.4,90
Krishnarajapura,Peenya Industry,25.2,90
Krishnarajapura,Peenya,24.0,60
Krishnarajapura,Goraguntepalya,22.8,60
Krishnarajapura,Yeshwanthpur,21.6,60
Krishnarajapura,Sandal Soap Factory,20.4,60
Krishnarajapura,Mahalakshmi,19.2,50
Krishnarajapura,Rajajinagar,18.0,50
Krishnarajapura,Kuvempu Road,16.8,50
Krishnarajapura,Srirampura,15.6,50
Krishnarajapura,Mantri Square Sampige Road,14.4,40
Krishnarajapura,Chickpete,14.4,40
Krishnarajapura,Krishna Rajendra Market,15.6,50
Krishnarajapura,National College,16.8,50
Krishnarajapura,Lalbagh,18.0,50
Krishnarajapura,South End Circle,19.2,50
Krishnarajapura,Jayanagar,20.4,60
Krishnarajapura,Rashtriya Vidyalaya Road,21.6,60
Krishnarajapura,Banashankari,22.8,60
Krishnarajapura,Jayaprakash Nagar,24.0,60
Krishnarajapura,Yelachenahalli,25.2,90
Krishnarajapura,Konanakunte Cross,26.4,90
Krishnarajapura,Doddakallasandra,27.6,90
Krishnarajapura,Vajarahalli,28.8,90
Krishnarajapura,Thalaghattapura,30.0,90
Krishnarajapura,Silk Institute,31.2,90
Krishnarajapura,Ragigudda,22.8,60
Krishnarajapura,Jayadeva Hospital,24.0,60
Krishnarajapura,BTM Layout,25.2,90
Krishnarajapura,Central Silk Board,26.4,90
Krishnarajapura,Bommanahalli,27.6,90
Krishnarajapura,Hongasandra,28.8,90
Krishnarajapura,Kudlu Gate,30.0,90
Krishnarajapura,Singasandra,31.2,90
Krishnarajapura,Hosa Road,32.4,90
Krishnarajapura,Beratena Agrahara,33.6,90
Krishnarajapura,Electronic City,34.8,90
Krishnarajapura,Infosys Foundation Konappana Agrahara,36.0,90
Krishnarajapura,Huskur Road,37.2,90
Krishnarajapura,Biocon Hebbagodi,38.4,90
Krishnarajapura,Delta Electronics Bommasandra,39.6,90
Krishnarajapura,Bommasandra,40.8,90
Singayyanapalya,Challaghatta,34.8,90
Singayyanapalya,Kengeri Bus Terminal,33.6,90
Singayyanapalya,Kengeri,32.4,90
Singayyanapalya,Pattanagere,31.2,90
Singayyanapalya,Jnanabharathi,30.0,90
Singayyanapalya,Rajarajeshwari Nagar,28.8,90
Singayyanapalya,RR Nagar,27.6,90
Singayyanapalya,Nayandahalli,26.4,90
Singayyanapalya,Pantharapalya – Nayandahalli,25.2,90
Singayyanapalya,Mysuru Road,24.0,60
Singayyanapalya,Deepanjali Nagar,22.8,60
Singayyanapalya,Attiguppe,21.6,60
Singayyanapalya,Vijayanagar,20.4,60
Singayyanapalya,Hosahalli,19.2,50
Singayyanapalya,"Sri Balagangadharanatha Swamiji Station, Hosahalli",18.0,50
Singayyanapalya,Magadi Road,16.8,50
Singayyanapalya,Krantiveera Sangolli Rayanna Railway Station,15.6,50
Singayyanapalya,Majestic (Nadaprabhu Kempegowda),14.4,40
Singayyanapalya,Sir M. Visvesvaraya,13.2,40
Singayyanapalya,Vidhana Soudha,12.0,40
Singayyanapalya,Cubbon Park,10.8,40
Singayyanapalya,Mahatma Gandhi Road,9.6,30
Singayyanapalya,Trinity,8.4,30
Singayyanapalya,Halasuru,7.2,30
Singayyanapalya,Indiranagar,6.0,30
Singayyanapalya,Swami Vivekananda Road,4.8,20
Singayyanapalya,Baiyyappanahalli,3.6,20
Singayyanapalya,Bennigana Halli,2.4,20
Singayyanapalya,Krishnarajapura,1.2,10
Singayyanapalya,Singayyanapalya,0.0,10
Singayyanapalya,Garudacharpalya,1.2,10
Singayyanapalya,Hoodi,2.4,20
Singayyanapalya,Seetharamapalya,3.6,20
Singayyanapalya,Kundalahalli,4.8,20
Singayyanapalya,Nallurhalli,6.0,30
Singayyanapalya,Sri Sathya Sai Hospital,7.2,30
Singayyanapalya,Pattandur Agrahara,8.4,30
Singayyanapalya,Kadugodi Tree Park,9.6,30
Singayyanapalya,Channasandra,10.8,40
Singayyanapalya,Whitefield (Kadugodi),12.0,40
Singayyanapalya,Madavara,33.6,90
Singayyanapalya,Chikkabidarakallu,32.4,90
Singayyanapalya,Manjunath Nagar,31.2,90
Singayyanapalya,Nagasandra,30.0,90
Singayyanapalya,Dasarahalli,28.8,90
Singayyanapalya,Jalahalli,27.6,90
Singayyanapalya,Peenya Industry,26.4,90
Singayyanapalya,Peenya,25.2,90
Singayyanapalya,Goraguntepalya,24.0,60
Singayyanapalya,Yeshwanthpur,22.8,60
Singayyanapalya,Sandal Soap Factory,21.6,60
Singayyanapalya,Mahalakshmi,20.4,60
Singayyanapalya,Rajajinagar,19.2,50
Singayyanapalya,Kuvempu Road,18.0,50
Singayyanapalya,Srirampura,16.8,50
Singayyanapalya,Mantri Square Sampige Road,15.6,50
Singayyanapalya,Chickpete,15.6,50
Singayyanapalya,Krishna Rajendra Market,16.8,50
Singayyanapalya,National College,18.0,50
Singayyanapalya,Lalbagh,19.2,50
Singayyanapalya,South End Circle,20.4,60
Singayyanapalya,Jayanagar,21.6,60
Singayyanapalya,Rashtriya Vidyalaya Road,22.8,60
Singayyanapalya,Banashankari,24.0,60
Singayyanapalya,Jayaprakash Nagar,25.2,90
Singayyanapalya,Yelachenahalli,26.4,90
Singayyanapalya,Konanakunte Cross,27.6,90
Singayyanapalya,Doddakallasandra,28.8,90
Singayyanapalya,Vajarahalli,30.0,90
Singayyanapalya,Thalaghattapura,31.2,90
Singayyanapalya,Silk Institute,32.4,90
Singayyanapalya,Ragigudda,24.0,60
Singayyanapalya,Jayadeva Hospital,25.2,90
Singayyanapalya,BTM Layout,26.4,90
Singayyanapalya,Central Silk Board,27.6,90
